Castle,Inhabitant,Breaks,OwnershipDate
Bergell,Ethereal Royale,15,20/01/2018
Neuschwanstein,Fatality-,14,20/01/2018
Kendul, Oops` ,13,20/01/2018
Lazreagues,Atlas,12,20/01/2018
Bamboo Forest of Hermitage,Fatality-,11,20/01/2018
Garden of Heaven,Vice,10,20/01/2018
Swanhild,Insignia Regalia,9,20/01/2018
Jyolbringer,TheChoseNOnE,9,20/01/2018
Yssnelf,Fatality-,9,20/01/2018
Shadow of Buddha,DarkEmpire IV,9,20/01/2018
Arbor of Light, Oops` ,8,20/01/2018
Leprion,DarkEmpire IV,7,20/01/2018
Red Palace,Imperial Regalia,7,20/01/2018
Wurzburgk,Synergy II,5,20/01/2018
Skoegul,Fatality-,4,20/01/2018
Rothenburg,DarkEmpireII,4,20/01/2018
Nuernberg,Atlas,3,20/01/2018
Kriemhild,CeruleanV,2,20/01/2018
Melcedez,Ethereal Order,2,20/01/2018
Hohenschwangau, Oops` ,0,16/01/2018
